From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
ISPG_ORYSJ	Q6K8J4	ISPG_ORYSJ	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin), chloroplastic (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ISPG Os02g0603800 LOC_Os02g39160 OJ1669_F01.30 OsJ_07430	Oryza sativa subsp. japonica (Rice)	744	FUNCTION: Enzyme of the plastid non-mevalonate pathway for isoprenoid biosynthesis that converts 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-2,4cPP) into 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate. Is essential for chloroplast development (By similarity). {ECO:0000250}.	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 5/6.			chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; 4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]; iron ion binding [GO:0005506]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; response to bacterium [GO:0009617]; systemic acquired resistance, salicylic acid mediated signaling pathway [GO:0009862]; terpenoid biosynthetic process [GO:0016114]
KAD2_ARATH	Q9FIJ7	KAD2_ARATH	Adenylate kinase 2, chloroplastic (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 2) (AMK2)	At5g47840 MCA23.18	Arabidopsis thaliana (Mouse-ear cress)	283	FUNCTION: Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism. Plays a major role in the equilibration of adenylates and de novo synthesis of ADP in the plastid stroma. {ECO:0000269|PubMed:18162585}.				chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; plastid [GO:0009536]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; nucleoside diphosphate kinase activity [GO:0004550]; energy homeostasis [GO:0097009]; nucleoside triphosphate biosynthetic process [GO:0009142]; phosphorylation [GO:0016310]
KIRO_ACTDE	P85524	KIRO_ACTDE	Kirola (allergen Act d 11)		Actinidia deliciosa (Kiwi)	150					activation of immune response [GO:0002253]; defense response [GO:0006952]
LFG5_ARATH	Q94A20	LFG5_ARATH	BI1-like protein (Protein LIFEGUARD 5) (AtLFG5)	LFG5 At4g15470 dl3775w FCAALL.58	Arabidopsis thaliana (Mouse-ear cress)	256					membrane [GO:0016020]
LIPC_SOLTU	P80471	LIPC_SOLTU	Light-induced protein, chloroplastic (Drought-induced stress protein CDSP-34)		Solanum tuberosum (Potato)	326	FUNCTION: Required for normal plant growth. May be both photoprotective and play an ancillary role in photosynthesis. May structurally stabilize thylakoids during osmotic and oxidative stress.			TISSUE SPECIFICITY: Expressed in leaves. {ECO:0000269|PubMed:9839468}.	chloroplast thylakoid membrane [GO:0009535]; response to water deprivation [GO:0009414]
LUT5_ARATH	Q93VK5	LUT5_ARATH	Protein LUTEIN DEFICIENT 5, chloroplastic (EC 1.14.-.-) (Cytochrome P450 97A3)	CYP97A3 LUT5 At1g31800 F5M6.19	Arabidopsis thaliana (Mouse-ear cress)	595	FUNCTION: Heme-containing cytochrome P450 involved in the biosynthesis of xanthophylls. Specific for beta-ring hydroxylation of alpha- and beta-carotene. Has also a low activity toward the epsilon-rings of alpha-carotene. The beta-ring of alpha-carotene is the preferred substrate in planta. {ECO:0000269|PubMed:16492736, ECO:0000269|PubMed:16890225, ECO:0000269|PubMed:19147649}.				chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; carotene beta-ring hydroxylase activity [GO:0010291]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; carotenoid biosynthetic process [GO:0016117]; xanthophyll biosynthetic process [GO:0016123]
M030_ARATH	P93276	M030_ARATH	Uncharacterized mitochondrial protein AtMg00030 (ORF107a)	AtMg00030	Arabidopsis thaliana (Mouse-ear cress)	107					mitochondrion [GO:0005739]
M660_ARATH	P93318	M660_ARATH	Uncharacterized mitochondrial protein AtMg00660 (ORF149)	AtMg00660	Arabidopsis thaliana (Mouse-ear cress)	149					mitochondrion [GO:0005739]
MATK_OLEEU	Q8M998	MATK_OLEEU	Maturase K (Intron maturase)	matK	Olea europaea (Common olive)	506	FUNCTION: Usually encoded in the trnK tRNA gene intron. Probably assists in splicing its own and other chloroplast group II introns. {ECO:0000255|HAMAP-Rule:MF_01390}.				chloroplast [GO:0009507]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]; tRNA processing [GO:0008033]
MDHP_MESCR	Q05145	MDHP_MESCR	Malate dehydrogenase [NADP], chloroplastic (EC 1.1.1.82) (NADP-MDH)	MDH1	Mesembryanthemum crystallinum (Common ice plant) (Cryophytum crystallinum)	441	FUNCTION: The chloroplastic, NADP-dependent form is essential for the photosynthesis C4 cycle, which allows plants to circumvent the problem of photorespiration. In C4 plants, NADP-MDH activity acts to convert oxaloacetate to malate in chloroplasts of mesophyll cells for transport to the bundle sheath cells.				chloroplast [GO:0009507]; malate dehydrogenase (NADP+) activity [GO:0046554]; malate metabolic process [GO:0006108]
MI25_TRITI	P68537	MI25_TRITI	ATP synthase protein MI25 (ORF25)		Triticum timopheevii (Timopheev's wheat) (Triticum dicoccon var. timopheevii)	192	FUNCTION: This is one of the chains of the nonenzymatic component (CF(0) subunit) of the mitochondrial ATPase complex. {ECO:0000250}.				mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]
MIOX2_ARATH	O82200	MIOX2_ARATH	Inositol oxygenase 2 (EC 1.13.99.1) (Myo-inositol oxygenase 2) (AtMIOX2) (MI oxygenase 2)	MIOX2 At2g19800 F6F22.17	Arabidopsis thaliana (Mouse-ear cress)	317	FUNCTION: Involved in the biosynthesis of UDP-glucuronic acid (UDP-GlcA), providing nucleotide sugars for cell-wall polymers. May be also involved in plant ascorbate biosynthesis. {ECO:0000305|PubMed:15660207}.	PATHWAY: Polyol metabolism; myo-inositol degradation into D-glucuronate; D-glucuronate from myo-inositol: step 1/1.		TISSUE SPECIFICITY: Expressed mainly in roots, stems, flowers and siliques. Low expression in leaves. {ECO:0000269|PubMed:15660207}.	cytoplasm [GO:0005737]; inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]; inositol catabolic process [GO:0019310]; L-ascorbic acid biosynthetic process [GO:0019853]
MIOX4_ARATH	Q8H1S0	MIOX4_ARATH	Inositol oxygenase 4 (EC 1.13.99.1) (Myo-inositol oxygenase 4) (AtMIOX4) (MI oxygenase 4)	MIOX4 At4g26260 T25K17.70	Arabidopsis thaliana (Mouse-ear cress)	317	FUNCTION: Catalyzes the oxygenative cleavage of myo-inositol to D-glucuronate. Involved in the biosynthesis of UDP-glucuronic acid (UDP-GlcA), providing nucleotide sugars for cell-wall polymers. May be also involved in plant ascorbate biosynthesis. {ECO:0000269|PubMed:14976233, ECO:0000305|PubMed:15660207}.	PATHWAY: Polyol metabolism; myo-inositol degradation into D-glucuronate; D-glucuronate from myo-inositol: step 1/1.		TISSUE SPECIFICITY: Expressed in flowers, leaves, siliques, and to a lesser extent in roots. {ECO:0000269|PubMed:14976233, ECO:0000269|PubMed:15660207}.	cytoplasm [GO:0005737]; inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]; inositol catabolic process [GO:0019310]; L-ascorbic acid biosynthetic process [GO:0019853]
MSBP1_ORYSJ	Q9FVZ7	MSBP1_ORYSJ	Membrane steroid-binding protein 1 (OsMSBP1) (OsMSBP2)	MSBP1 Os10g0502600 LOC_Os10g35870 OSJNBb0073N24.4	Oryza sativa subsp. japonica (Rice)	232	FUNCTION: Binds multiple steroid compounds (By similarity). May act as a coreceptor with SERL2 and enhance its endocytosis (Probable). {ECO:0000250|UniProtKB:Q9XFM6, ECO:0000305|PubMed:25711711}.			TISSUE SPECIFICITY: Expressed in leaf sheaths, leaf blades and panicles. {ECO:0000269|PubMed:17512025}.	endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; plasma membrane [GO:0005886]; steroid binding [GO:0005496]
MSBP2_ARATH	Q9M2Z4	MSBP2_ARATH	Membrane steroid-binding protein 2 (AtMP2) (Membrane-associated progesterone-binding protein 3) (AtMAPR3)	MSBP2 MAPR3 MP2 At3g48890 T21J18.160	Arabidopsis thaliana (Mouse-ear cress)	233					chloroplast thylakoid membrane [GO:0009535]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; plasma membrane [GO:0005886]; protein domain specific binding [GO:0019904]; steroid binding [GO:0005496]
MT21_BRAJU	P56168	MT21_BRAJU	Metallothionein-like protein type 2, MT2-4/MT2-25		Brassica juncea (Indian mustard) (Sinapis juncea)	80	FUNCTION: Metallothioneins have a high content of cysteine residues that bind various heavy metals.				metal ion binding [GO:0046872]
NBS_NARPS	A0A3G5BB24	NBS_NARPS	Norbelladine synthase (NpNBS) (EC 4.2.1.-)	NBS	Narcissus pseudonarcissus (Daffodil)	163	FUNCTION: Catalyzes the condensation of tyramine and 3,4-dihydroxybenzaldehyde (3,4-DHBA) to form norbelladine, the common precursor to all Amaryllidaceae alkaloids such as galanthamine, lycorine and haemanthamine, and including haemanthamine- and crinamine-type alkaloids, promising anticancer agents. {ECO:0000269|PubMed:30526483}.	PATHWAY: Alkaloid biosynthesis. {ECO:0000269|PubMed:30526483}.		TISSUE SPECIFICITY: Mostly expressed in bulbs, and, to a lower extent, in roots, stems, leaves and flowers. {ECO:0000269|PubMed:30526483}.	lyase activity [GO:0016829]; alkaloid metabolic process [GO:0009820]; defense response [GO:0006952]
NDB2_ARATH	Q94BV7	NDB2_ARATH	External alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB2) (NADH:ubiquinone reductase (non-electrogenic) NDB2)	NDB2 At4g05020 T32N4.4	Arabidopsis thaliana (Mouse-ear cress)	582	FUNCTION: Alternative NADH-ubiquinone oxidoreductase which catalyzes the oxidation of mitochondrial NADH does not translocate protons across the inner mitochondrial membrane (By similarity). Calcium-dependent NAD(P)H dehydrogenase; more efficient on NADH. Binds calcium ions. {ECO:0000250, ECO:0000269|PubMed:17673460}.			TISSUE SPECIFICITY: Mostly expressed in seedlings and roots and, to a lower extent, in cotyledons, leaves, stems, buds and flowers. {ECO:0000269|PubMed:12972666, ECO:0000269|PubMed:16258072}.	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; peroxisome [GO:0005777]; calcium ion binding [GO:0005509]; NADH dehydrogenase (quinone) activity [GO:0050136]; oxidoreductase activity [GO:0016491]; NADH oxidation [GO:0006116]
NDUS2_ARATH	P93306	NDUS2_ARATH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 7)	NAD7 AtMg00510	Arabidopsis thaliana (Mouse-ear cress)	394	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). Component of the iron-sulfur (IP) fragment of the enzyme. {ECO:0000250}.				mitochondrial respiratory chain complex I [GO:0005747]; NAD binding [GO:0051287]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
NDUS3_ARATH	Q95748	NDUS3_ARATH	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 9)	NAD9 AtMg00070	Arabidopsis thaliana (Mouse-ear cress)	190	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]
NLTP2_PRUAR	P82353	NLTP2_PRUAR	Non-specific lipid-transfer protein 2 (LTP 2)		Prunus armeniaca (Apricot) (Armeniaca vulgaris)	68	FUNCTION: Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues (By similarity). {ECO:0000250}.				lipid binding [GO:0008289]; lipid transport [GO:0006869]
NLTP3_PEA	A0A158V976	NLTP3_PEA	Non-specific lipid-transfer protein 3 (PsLTP1)		Pisum sativum (Garden pea)	119	FUNCTION: Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues. {ECO:0000305}.		DEVELOPMENTAL STAGE: Expression increases sharply after germination and reamins high in the mature plant. {ECO:0000269|PubMed:27137920}.	TISSUE SPECIFICITY: Expressed in roots, stem, leaves and tendrils of the mature plant. {ECO:0000269|PubMed:27137920}.	lipid binding [GO:0008289]; lipid transport [GO:0006869]
NU1M_ARATH	P92558	NU1M_ARATH	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	ND1 NAD1 AtMg00516/AtMg01120/AtMg01275; At2g07785; At2g07786	Arabidopsis thaliana (Mouse-ear cress)	325	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial respiratory chain complex I [GO:0005747]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]
NU1M_OENBE	P31839	NU1M_OENBE	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	ND1 NAD1	Oenothera berteroana (Bertero's evening primrose)	331	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]
NU2C1_COFAR	P0CC48	NU2C1_COFAR	NAD(P)H-quinone oxidoreductase subunit 2 A, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase, subunit 2 A) (NADH-plastoquinone oxidoreductase subunit 2 A)	ndhB1	Coffea arabica (Arabian coffee)	541	FUNCTION: NDH shuttles electrons from NAD(P)H:plastoquinone, via FMN and iron-sulfur (Fe-S) centers, to quinones in the photosynthetic chain and possibly in a chloroplast respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. {ECO:0000255|HAMAP-Rule:MF_00445}.				chloroplast thylakoid membrane [GO:0009535]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; photosynthesis, light reaction [GO:0019684]
NU2M_ARATH	O05000	NU2M_ARATH	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	ND2 NAD2 AtMg00285/AtMg01320	Arabidopsis thaliana (Mouse-ear cress)	499	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; plastid [GO:0009536]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]
NU2M_BETVU	P15688	NU2M_BETVU	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	ND2 NAD2	Beta vulgaris (Sugar beet)	515	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; plastid [GO:0009536]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]
NU2M_OENBE	P93401	NU2M_OENBE	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	ND2 NAD2	Oenothera berteroana (Bertero's evening primrose)	488	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; plastid [GO:0009536]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]
NU3M_HELAN	P60159	NU3M_HELAN	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)	ND3 NAD3	Helianthus annuus (Common sunflower)	118	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]
NU4M_ARATH	P93313	NU4M_ARATH	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	ND4 NAD4 AtMg00580	Arabidopsis thaliana (Mouse-ear cress)	495	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial respiratory chain complex I [GO:0005747]; plastid [GO:0009536]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]
NU4M_WHEAT	P27572	NU4M_WHEAT	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)	ND4 NAD4	Triticum aestivum (Wheat)	495	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial membrane [GO:0031966]; plastid [GO:0009536]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]
NU5M_ARATH	P29388	NU5M_ARATH	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	ND5 NAD5 NAD5C AtMg00060/AtMg00513/AtMg00665	Arabidopsis thaliana (Mouse-ear cress)	669	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial respiratory chain complex I [GO:0005747]; plastid [GO:0009536]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]
NU5M_OENBE	P10330	NU5M_OENBE	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	ND5 NAD5	Oenothera berteroana (Bertero's evening primrose)	670	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; plastid [GO:0009536]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]
NU6M_ARATH	P60497	NU6M_ARATH	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)	ND6 NAD6 AtMg00270	Arabidopsis thaliana (Mouse-ear cress)	205	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity). {ECO:0000250}.				mitochondrial membrane [GO:0031966]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]
ORANG_ARATH	Q9FKF4	ORANG_ARATH	Protein ORANGE, chloroplastic (AtOR) (DnaJ-like cysteine-rich domain-containing protein OR)	OR At5g61670	Arabidopsis thaliana (Mouse-ear cress)	307	FUNCTION: Involved in chromoplast differentiation. Associated with a cellular process that triggers the differentiation of pro-plastids or other non-colored plastids into chromoplasts for carotenoid accumulation (PubMed:24267591). Is associated with carotenoid accumulation in chromoplasts (PubMed:26224804). Functions as a major regulator of the phytoene synthase PSY1 protein level and activity. Modulates carotenoid biosynthesis by means of post-transcriptional regulation of PSY1 (PubMed:25675505). Modulates carotenoid biosynthesis in part by up-regulating a series of endogenous carotenogenic genes (PubMed:25857664). {ECO:0000269|PubMed:24267591, ECO:0000269|PubMed:25675505, ECO:0000269|PubMed:25857664, ECO:0000269|PubMed:26224804}.				chloroplast [GO:0009507]; chloroplast membrane [GO:0031969]; nucleus [GO:0005634]; chloroplast organization [GO:0009658]; positive regulation of carotenoid biosynthetic process [GO:1904143]; protein stabilization [GO:0050821]
ORP3C_ARATH	Q93Y40	ORP3C_ARATH	Oxysterol-binding protein-related protein 3C (OSBP-related protein 3C)	ORP3C At5g59420 F2O15.10	Arabidopsis thaliana (Mouse-ear cress)	457	FUNCTION: May be involved in the transport of sterols. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in roots, leaves, stems and flowers. {ECO:0000269|PubMed:16897474}.	cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; plastid [GO:0009536]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]
PAL4_POPKI	Q40910	PAL4_POPKI	Phenylalanine ammonia-lyase G4 (EC 4.3.1.24)	PALG4	Populus kitakamiensis (Aspen) (Populus sieboldii x Populus grandidentata)	571	FUNCTION: This is a key enzyme of plant metabolism catalyzing the first reaction in the biosynthesis from L-phenylalanine of a wide variety of natural products based on the phenylpropane skeleton. {ECO:0000250|UniProtKB:P24481}.	PATHWAY: Phenylpropanoid metabolism; trans-cinnamate biosynthesis; trans-cinnamate from L-phenylalanine: step 1/1. {ECO:0000305}.			cytoplasm [GO:0005737]; phenylalanine ammonia-lyase activity [GO:0045548]; cinnamic acid biosynthetic process [GO:0009800]; L-phenylalanine catabolic process [GO:0006559]
PALY_CITLI	Q42667	PALY_CITLI	Phenylalanine ammonia-lyase (EC 4.3.1.24)	PAL6	Citrus limon (Lemon) (Citrus medica var. limon)	722	FUNCTION: This is a key enzyme of plant metabolism catalyzing the first reaction in the biosynthesis from L-phenylalanine of a wide variety of natural products based on the phenylpropane skeleton. {ECO:0000250|UniProtKB:P24481}.	PATHWAY: Phenylpropanoid metabolism; trans-cinnamate biosynthesis; trans-cinnamate from L-phenylalanine: step 1/1. {ECO:0000305}.			cytoplasm [GO:0005737]; phenylalanine ammonia-lyase activity [GO:0045548]; cinnamic acid biosynthetic process [GO:0009800]; L-phenylalanine catabolic process [GO:0006559]
PALY_DIGLA	O23924	PALY_DIGLA	Phenylalanine ammonia-lyase (EC 4.3.1.24)		Digitalis lanata (Grecian foxglove)	713	FUNCTION: This is a key enzyme of plant metabolism catalyzing the first reaction in the biosynthesis from L-phenylalanine of a wide variety of natural products based on the phenylpropane skeleton. {ECO:0000250|UniProtKB:P24481}.	PATHWAY: Phenylpropanoid metabolism; trans-cinnamate biosynthesis; trans-cinnamate from L-phenylalanine: step 1/1. {ECO:0000305}.			cytoplasm [GO:0005737]; phenylalanine ammonia-lyase activity [GO:0045548]; cinnamic acid biosynthetic process [GO:0009800]; L-phenylalanine catabolic process [GO:0006559]
PIP13_ARATH	Q08733	PIP13_ARATH	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B)	PIP1-3 PIP1C TMPB At1g01620 F22L4.16	Arabidopsis thaliana (Mouse-ear cress)	286	FUNCTION: Water channel required to facilitate the transport of water across cell membrane. Its function is impaired by Hg(2+). {ECO:0000269|PubMed:7920711}.			TISSUE SPECIFICITY: Expressed in roots, above ground, ripening fruit, flower buds, green siliques and senescing leaves. {ECO:0000269|PubMed:11806824, ECO:0000269|PubMed:7920711}.	extracellular region [GO:0005576]; plasma membrane [GO:0005886]; water channel activity [GO:0015250]; response to water deprivation [GO:0009414]; water transport [GO:0006833]
PIP1_SOLLC	Q08451	PIP1_SOLLC	Probable aquaporin PIP-type pTOM75 (Ripening-associated membrane protein) (RAMP)		Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	286	FUNCTION: Aquaporins facilitate the transport of water and small neutral solutes across cell membranes. {ECO:0000250}.			TISSUE SPECIFICITY: Roots, ripening fruit and senescing leaves.	plasma membrane [GO:0005886]; water channel activity [GO:0015250]; response to water deprivation [GO:0009414]
