From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
FRI1_BRANA	Q96540	FRI1_BRANA	Ferritin-1, chloroplastic (EC 1.16.3.1)	LSC30	Brassica napus (Rape)	254	FUNCTION: Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Has ferroxidase activity. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation (By similarity). {ECO:0000250}.				chloroplast [GO:0009507]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	GO:0004322; GO:0006826; GO:0006879; GO:0008199; GO:0009507
FRI1_SOYBN	P19976	FRI1_SOYBN	Ferritin-1, chloroplastic (EC 1.16.3.1) (SFerH-1) (SOF-35)		Glycine max (Soybean) (Glycine hispida)	250	FUNCTION: Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Has ferroxidase activity. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation.			TISSUE SPECIFICITY: Leaf > hypocotyl.	chloroplast [GO:0009507]; cytoplasm [GO:0005737]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; ferroxidase activity [GO:0004322]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]	GO:0004322; GO:0005737; GO:0006826; GO:0006880; GO:0008198; GO:0008199; GO:0009507
Y5241_ARATH	Q9FLW0	Y5241_ARATH	Probable receptor-like protein kinase At5g24010 (EC 2.7.11.-)	At5g24010 MZF18.11	Arabidopsis thaliana (Mouse-ear cress)	824					plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; protein autophosphorylation [GO:0046777]	GO:0004672; GO:0004674; GO:0004714; GO:0005524; GO:0005886; GO:0009506; GO:0046777
CUL1_ARATH	Q94AH6	CUL1_ARATH	Cullin-1	CUL1 At4g02570 T10P11.26	Arabidopsis thaliana (Mouse-ear cress)	738	FUNCTION: Involved in ubiquitination and subsequent proteasomal degradation of target proteins. Regulator of mitotic processes which plays a role during gametogenesis and embryogenesis. Together with SKP1, RBX1 and a F-box protein, it forms a SCF complex. The functional specificity of this complex depends of the type of F-box protein. SCF(UFO) is implicated in floral organ development. SCF(TIR1) is involved in auxin signaling pathway. SCF(COI1) regulates responses to jasmonates. SCF(EID1) and SCF(AFR) are implicated in phytochrome A light signaling. SCF(ADO1/ZTL), SCF(ADO2/LKP2), SCF(ADO3/FKF1) are related to the circadian clock. SCF(ORE9) seems to be involved in senescence. SCF(EBF1/EBF2) may regulate ethylene signaling. {ECO:0000269|PubMed:12058059, ECO:0000269|PubMed:15208391}.	PATHWAY: Protein modification; protein ubiquitination.	DEVELOPMENTAL STAGE: Strong accumulation in embryos (at protein level). {ECO:0000269|PubMed:12058059}.	TISSUE SPECIFICITY: Expressed constitutively in roots, seedlings, stems, leaves and flowers. {ECO:0000269|PubMed:12058059}.	condensed nuclear chromosome [GO:0000794]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; phragmoplast [GO:0009524]; SCF ubiquitin ligase complex [GO:0019005]; spindle [GO:0005819]; ubiquitin protein ligase binding [GO:0031625]; auxin-activated signaling pathway [GO:0009734]; cell cycle [GO:0007049]; embryo development ending in seed dormancy [GO:0009793]; ethylene-activated signaling pathway [GO:0009873]; jasmonic acid mediated signaling pathway [GO:0009867]; leaf development [GO:0048366]; phloem or xylem histogenesis [GO:0010087]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; response to auxin [GO:0009733]; response to jasmonic acid [GO:0009753]; SCF complex assembly [GO:0010265]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000794; GO:0005634; GO:0005737; GO:0005819; GO:0006511; GO:0007049; GO:0009524; GO:0009733; GO:0009734; GO:0009753; GO:0009793; GO:0009867; GO:0009873; GO:0010087; GO:0010265; GO:0016567; GO:0019005; GO:0031461; GO:0031625; GO:0042752; GO:0048366
CUL1_ORYSJ	Q5ZC88	CUL1_ORYSJ	Cullin-1 (OsCUL1) (OsCUL1-1)	CUL1 CUL1-1 Os01g0369000 LOC_Os01g27150 OsJ_01786 OSJNBa0010P20.16 P0043B10.31 P0560B06.30	Oryza sativa subsp. japonica (Rice)	744	FUNCTION: Involved in ubiquitination and subsequent proteasomal degradation of target proteins. {ECO:0000250|UniProtKB:Q94AH6}.			TISSUE SPECIFICITY: Expressed in dry seeds and coleoptiles. {ECO:0000269|PubMed:29892794}.	cullin-RING ubiquitin ligase complex [GO:0031461]; ubiquitin protein ligase binding [GO:0031625]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0006511; GO:0016567; GO:0031461; GO:0031625
EF110_ARATH	Q70II3	EF110_ARATH	Ethylene-responsive transcription factor ERF110	ERF110 At5g50080 MPF21.9	Arabidopsis thaliana (Mouse-ear cress)	220	FUNCTION: Probably acts as a transcriptional activator. Binds to the GCC-box pathogenesis-related promoter element. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways (By similarity). {ECO:0000250}.				nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; ethylene-activated signaling pathway [GO:0009873]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of timing of transition from vegetative to reproductive phase [GO:0048510]	GO:0003677; GO:0003700; GO:0005634; GO:0009873; GO:0045893; GO:0048510
DTX30_ARATH	Q9LS19	DTX30_ARATH	Protein DETOXIFICATION 30 (AtDTX30) (Multidrug and toxic compound extrusion protein 30) (MATE protein 30)	DTX30 At5g38030 F16F17.3	Arabidopsis thaliana (Mouse-ear cress)	498					plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; response to nematode [GO:0009624]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	GO:0005774; GO:0005886; GO:0009624; GO:0015297; GO:0022857; GO:0042910; GO:1990961
DTX31_ARATH	Q9LPV4	DTX31_ARATH	Protein DETOXIFICATION 31 (AtDTX31) (Multidrug and toxic compound extrusion protein 31) (MATE protein 31) (Protein ROOT HAIR SPECIFIC 2)	DTX31 RHS2 At1g12950 F13K23.21	Arabidopsis thaliana (Mouse-ear cress)	522	FUNCTION: Positively mediates root hair elongation. {ECO:0000269|PubMed:19448035}.				vacuolar membrane [GO:0005774]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; xenobiotic transmembrane transporter activity [GO:0042910]; root hair elongation [GO:0048767]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	GO:0005774; GO:0015297; GO:0022857; GO:0042910; GO:0048767; GO:1990961
NFYC3_ARATH	Q9ZVL3	NFYC3_ARATH	Nuclear transcription factor Y subunit C-3 (AtNF-YC-3)	NFYC3 At1g54830 F14C21.41 T22H22.22	Arabidopsis thaliana (Mouse-ear cress)	217	FUNCTION: Stimulates the transcription of various genes by recognizing and binding to a CCAAT motif in promoters. {ECO:0000250}.			TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:11250072}.	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator activity [GO:0003712]; abscisic acid-activated signaling pathway [GO:0009738]; gibberellic acid mediated signaling pathway [GO:0009740]; long-day photoperiodism, flowering [GO:0048574]; positive regulation of photomorphogenesis [GO:2000306]; regulation of seed germination [GO:0010029]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000976; GO:0000981; GO:0003700; GO:0003712; GO:0005634; GO:0006357; GO:0009738; GO:0009740; GO:0010029; GO:0046982; GO:0048574; GO:2000306
NUDT2_ARATH	Q94B74	NUDT2_ARATH	Nudix hydrolase 2 (AtNUDT2) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (NADH pyrophosphatase) (EC 3.6.1.22)	NUDT2 NUDX2 At5g47650 MNJ7.24	Arabidopsis thaliana (Mouse-ear cress)	278	FUNCTION: Probably mediates the hydrolysis of some nucleoside diphosphate derivatives. In vitro, it can use both NADH and ADP-ribose as substrates; however the relevance of such substrates in vivo is unclear. Confers tolerance to oxidative stress (PubMed:18798872). {ECO:0000269|PubMed:15878881, ECO:0000269|PubMed:18798872}.			TISSUE SPECIFICITY: Expressed in roots, stems and leaves. {ECO:0000269|PubMed:15878881}.	cytosol [GO:0005829]; ADP-ribose diphosphatase activity [GO:0047631]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ diphosphatase activity [GO:0000210]; NADH pyrophosphatase activity [GO:0035529]; response to oxidative stress [GO:0006979]	GO:0000210; GO:0005829; GO:0006979; GO:0035529; GO:0046872; GO:0047631; GO:0051287
HAT14_ARATH	P46665	HAT14_ARATH	Homeobox-leucine zipper protein HAT14 (Homeodomain-leucine zipper protein HAT14) (HD-ZIP protein 14)	HAT14 At5g06710 MPH15.6	Arabidopsis thaliana (Mouse-ear cress)	336	FUNCTION: Probable transcription factor. {ECO:0000250}.				nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0000981; GO:0003700; GO:0005634
PIN4_ARATH	Q8RWZ6	PIN4_ARATH	Auxin efflux carrier component 4 (AtPIN4)	PIN4 At2g01420 F2I9.4	Arabidopsis thaliana (Mouse-ear cress)	616	FUNCTION: Acts as a component of the auxin efflux carrier. Plays a role in generating a sink for auxin into columella cells (PubMed:20439545). Maintains the endogenous auxin gradient, which is essential for correct root patterning (PubMed:20439545). Involved in EXO70A3-regulated gravitropic responses in columella cells and in root system architecture (RSA) (PubMed:31299202). {ECO:0000269|PubMed:20439545, ECO:0000269|PubMed:31299202}.		DEVELOPMENTAL STAGE: Expressed during embryogenesis (PubMed:14614497). Detected in the embryonic and seedling root meristems (PubMed:14614497). {ECO:0000269|PubMed:14614497}.	TISSUE SPECIFICITY: Expressed in the quiescent center precursors and surrounding cells (PubMed:22540348). Present in columella cells of primary roots (PubMed:31299202). Detected in pollen (PubMed:22540348). {ECO:0000269|PubMed:22540348, ECO:0000269|PubMed:31299202}.	endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; auxin efflux transmembrane transporter activity [GO:0010329]; auxin export across the plasma membrane [GO:0010315]; auxin polar transport [GO:0009926]; auxin-activated signaling pathway [GO:0009734]; gravitropism [GO:0009630]; root development [GO:0048364]; root morphogenesis [GO:0010015]	GO:0005739; GO:0005783; GO:0005886; GO:0009630; GO:0009734; GO:0009926; GO:0010015; GO:0010315; GO:0010329; GO:0048364
RVE8_ARATH	Q8RWU3	RVE8_ARATH	Protein REVEILLE 8 (MYB-like transcription factor) (Protein LHY-CCA1-like 5)	RVE8 LCL5 At3g09600 F11F8.19	Arabidopsis thaliana (Mouse-ear cress)	298	FUNCTION: Transcriptional activator of evening element (EE)-containing clock-controlled genes. Forms a negative feedback loop with APRR5. Regulates the pattern of histone H3 acetylation of the TOC1 promoter. {ECO:0000269|PubMed:21205033, ECO:0000269|PubMed:21474993, ECO:0000269|PubMed:21483796, ECO:0000269|PubMed:23638299}.				nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; circadian regulation of gene expression [GO:0032922]; histone H3 acetylation [GO:0043966]; photoperiodism, flowering [GO:0048573]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of circadian rhythm [GO:0042752]; regulation of DNA-templated transcription [GO:0006355]	GO:0003700; GO:0005634; GO:0006355; GO:0010628; GO:0032922; GO:0042752; GO:0042753; GO:0043565; GO:0043966; GO:0045944; GO:0048573
BBX19_ARATH	C0SVM5	BBX19_ARATH	B-box zinc finger protein 19 (Protein DOUBLE B-BOX 1B) (Protein SALT TOLERANCE HOMOLOG 5)	BBX19 DBB1B STH5 At4g38960 F19H22.60	Arabidopsis thaliana (Mouse-ear cress)	183	FUNCTION: Acts as negative regulator of seedling photomorphogenesis. {ECO:0000269|PubMed:18540109}.				nucleus [GO:0005634]; zinc ion binding [GO:0008270]; negative regulation of photomorphogenesis [GO:0010100]; photomorphogenesis [GO:0009640]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006355; GO:0008270; GO:0009640; GO:0010100
APS1_ARATH	Q9LIK9	APS1_ARATH	ATP sulfurylase 1, chloroplastic (AtPS1) (EC 2.7.7.4)	APS1 At3g22890 F5N5.6	Arabidopsis thaliana (Mouse-ear cress)	463	FUNCTION: Mediates selenate (Se) reduction, and promotes Se and sulfur (S) uptake and assimilation. {ECO:0000269|PubMed:9880353}.	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3.			chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]; hydrogen sulfide biosynthetic process [GO:0070814]; response to cadmium ion [GO:0046686]; selenium compound metabolic process [GO:0001887]; sulfate assimilation [GO:0000103]	GO:0000103; GO:0001887; GO:0004020; GO:0004781; GO:0005524; GO:0009507; GO:0009570; GO:0046686; GO:0070814
CYL2_ARATH	Q94JT5	CYL2_ARATH	Cyclase-like protein 2	CYCLASE2 At4g35220 F23E12.220	Arabidopsis thaliana (Mouse-ear cress)	272	FUNCTION: May function redundantly with CYCLASE1 for normal plant growth, development and viability. {ECO:0000305|PubMed:25862728}.				endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; secretory vesicle [GO:0099503]; arylformamidase activity [GO:0004061]; tryptophan catabolic process to kynurenine [GO:0019441]	GO:0004061; GO:0005576; GO:0005783; GO:0005794; GO:0005886; GO:0019441; GO:0099503
PIP12_MUSAM	A0A804KTT0	PIP12_MUSAM	Aquaporin PIP1-2 (Plasma membrane intrinsic protein 1-2) (MusaPIP1-2) (MusaPIP1;2)	PIP1-2 Ma10_g07860 GSMUA_310980.1	Musa acuminata subsp. malaccensis (Wild banana) (Musa malaccensis)	287	FUNCTION: Water channel required to facilitate the transport of water across cell membrane; mercury-insensitive (By similarity). Contributes to the tolerance to multiple abiotic stresses including salt (NaCl), cold and water deprivation, by modulating cytosolic K(+)/Na(+) ratio, maintaining osmotic balance, and reducing membrane injury (e.g. oxidative injury) (By similarity). {ECO:0000250|UniProtKB:P0DO53, ECO:0000250|UniProtKB:P30302}.			TISSUE SPECIFICITY: Barely detectable in roots, leaves and fruits. {ECO:0000269|PubMed:26307965}.	plasma membrane [GO:0005886]; channel activity [GO:0015267]	GO:0005886; GO:0015267
MPK12_ORYSJ	Q5Z9J0	MPK12_ORYSJ	Mitogen-activated protein kinase 12 (MAP kinase 12) (EC 2.7.11.24) (Blast- and wound-induced MAP kinase 1) (MAP kinase 1) (OsBWMK1) (OsMAPK1)	MPK12 BWMK1 MAPK1 Os06g0708000 LOC_Os06g49430 P0621D05.40-1 P0621D05.40-2	Oryza sativa subsp. japonica (Rice)	580	FUNCTION: May be involved in defense signaling pathway. Phosphorylates EREBP1 transcriptional activator in vitro. Enhances DNA-binding activity of EREBP1 to the GCC box element of pathogenesis-related (PR) gene promoters. {ECO:0000269|PubMed:12913152}.				cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; defense response [GO:0006952]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0006952; GO:0035556; GO:0106310
MPK9_ARATH	Q9LV37	MPK9_ARATH	Mitogen-activated protein kinase 9 (AtMPK9) (MAP kinase 9) (EC 2.7.11.24)	MPK9 At3g18040 MRC8.2 MRC8.4	Arabidopsis thaliana (Mouse-ear cress)	510					cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; abscisic acid-activated signaling pathway [GO:0009738]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]	GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006468; GO:0009738; GO:0035556; GO:0106310
NCA1_ARATH	Q9M2V1	NCA1_ARATH	Protein NCA1 (NO CATALASE ACTIVITY 1)	NCA1 At3g54360 T12E18.50	Arabidopsis thaliana (Mouse-ear cress)	405	FUNCTION: Has holdase chaperone activity that may fold catalase to a functional structure (PubMed:25700484). Not required for the peroxisome import of catalases (PubMed:25700484). Required for the activity of catalases and acts mainly at the post-transcriptional level (PubMed:24285797). {ECO:0000269|PubMed:24285797, ECO:0000269|PubMed:25700484}.			TISSUE SPECIFICITY: Expressed in roots, stems, leaves, flowers and siliques. {ECO:0000269|PubMed:25700484}.	cytosol [GO:0005829]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; positive regulation of catalase activity [GO:1902553]	GO:0005634; GO:0005829; GO:0046872; GO:1902553
SAU24_ARATH	Q9FK62	SAU24_ARATH	Auxin-responsive protein SAUR24 (Protein SMALL AUXIN UP RNA 24)	SAUR24 At5g18080 MRG7.3	Arabidopsis thaliana (Mouse-ear cress)	90	FUNCTION: Functions as positive effectors of cell expansion through modulation of auxin transport. {ECO:0000250|UniProtKB:Q9FJG1}.				plasma membrane [GO:0005886]; auxin-activated signaling pathway [GO:0009734]	GO:0005886; GO:0009734
SAU26_ARATH	Q6NMM4	SAU26_ARATH	Auxin-responsive protein SAUR26 (Protein SMALL AUXIN UP RNA 26)	SAUR26 At3g03850 F20H23.11	Arabidopsis thaliana (Mouse-ear cress)	93	FUNCTION: Provide a mechanistic link between auxin and plasma membrane H(+)-ATPases (PM H(+)-ATPases, e.g. AHA1 and AHA2), and triggers PM H(+)-ATPases activity by promoting phosphorylation of their C-terminal autoinhibitory domain as a result of PP2C-D subfamily of type 2C phosphatases inhibition, thus leading to the acidification of the apoplast and the facilitation of solutes and water uptake to drive cell expansion (By similarity). Functions as positive effectors of cell expansion through modulation of auxin transport (By similarity). Involved in thermo-responsiveness of plant architecture (PubMed:31127632). Enhances plasma membrane H(+)-ATPase (PubMed:31127632). Probably involved in light intensity mediated root development (PubMed:31325959). {ECO:0000250|UniProtKB:O65648, ECO:0000250|UniProtKB:Q9FJG1, ECO:0000269|PubMed:31127632, ECO:0000269|PubMed:31325959}.			TISSUE SPECIFICITY: Higher expression in thermo-responsive cultivars (e.g. cv. Alst-1, cv. Ang-0 and cv. Com-0) than in low thermo-responsive cultivars (e.g. cv. Dja-1, cv. El-0 and cv. Kon). {ECO:0000269|PubMed:31127632}.	plasma membrane [GO:0005886]; auxin-activated signaling pathway [GO:0009734]; response to light intensity [GO:0009642]; response to temperature stimulus [GO:0009266]	GO:0005886; GO:0009266; GO:0009642; GO:0009734
YAB1_ARATH	O22152	YAB1_ARATH	Axial regulator YABBY 1 (Fl-54) (Protein ABNORMAL FLORAL ORGANS) (Protein FILAMENTOUS FLOWER) (Protein antherless)	YAB1 AFO AT FIL At2g45190 F4L23.30	Arabidopsis thaliana (Mouse-ear cress)	229	FUNCTION: Involved in the abaxial cell fate determination during embryogenesis and organogenesis. Regulates the initiation of embryonic shoot apical meristem (SAM) development (PubMed:10323860, PubMed:10331982, PubMed:10457020, PubMed:11812777, PubMed:12417699, PubMed:9878633, Ref.3, Ref.6, PubMed:19837869). Required during flower formation and development, particularly for the patterning of floral organs. Positive regulator of class B (AP3 and PI) activity in whorls 2 and 3. Negative regulator of class B activity in whorl 1 and of SUP activity in whorl 3. Interacts with class A proteins (AP1, AP2 and LUG) to repress class C (AG) activity in whorls 1 and 2. Contributes to the repression of KNOX genes (STM, KNAT1/BP and KNAT2) to avoid ectopic meristems. Binds DNA without sequence specificity. In vitro, can compete and displace the AP1 protein binding to DNA containing CArG box (PubMed:10323860, PubMed:10331982, PubMed:10457020, PubMed:11812777, PubMed:12417699, PubMed:9878633, Ref.3, Ref.6). {ECO:0000269|PubMed:10323860, ECO:0000269|PubMed:10331982, ECO:0000269|PubMed:10457020, ECO:0000269|PubMed:11812777, ECO:0000269|PubMed:12417699, ECO:0000269|PubMed:19837869, ECO:0000269|PubMed:9878633, ECO:0000269|Ref.3, ECO:0000269|Ref.6}.		DEVELOPMENTAL STAGE: Expressed in subepidermal cells of anlagen regions, then in abaxial part of primordia and finally in differentiating organs. Levels decrease in differentiated organs. In embryo the expression starts during the transition between globular and heart stages in the cotyledon anlagen. From the heart stage, expression expands to abaxial domain of the cotyledon primordia and decrease as the embryo matures. In stamen, expression restricted to the abaxial region differentiating into the connective. In gynoecium, expressed in the abaxial cell layers differentiating into the valves. {ECO:0000269|PubMed:10457020}.	TISSUE SPECIFICITY: Expressed in abaxial regions of young lateral aerial organs, and in primordia leading to cotyledons, leaves, flower meristems, sepals, petals, stamen and carpels, but not in roots. {ECO:0000269|PubMed:10323860, ECO:0000269|PubMed:10457020, ECO:0000269|PubMed:14555697, ECO:0000269|Ref.3}.	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]; abaxial cell fate specification [GO:0010158]; cell fate commitment [GO:0045165]; fruit development [GO:0010154]; inflorescence meristem growth [GO:0010450]; meristem structural organization [GO:0009933]; polarity specification of adaxial/abaxial axis [GO:0009944]; regulation of flower development [GO:0009909]; regulation of leaf development [GO:2000024]; regulation of shoot apical meristem development [GO:1902183]; specification of floral organ identity [GO:0010093]; specification of plant organ position [GO:0090706]	GO:0000976; GO:0003700; GO:0005634; GO:0009909; GO:0009933; GO:0009944; GO:0010093; GO:0010154; GO:0010158; GO:0010450; GO:0045165; GO:0046872; GO:0090706; GO:1902183; GO:2000024
SRP_VITRI	Q9SW70	SRP_VITRI	Stress-related protein	SRP	Vitis riparia (Frost grape) (Vitis vulpina)	248						
Y3550_ARATH	Q9MA63	Y3550_ARATH	REF/SRPP-like protein At3g05500	At3g05500 F22F7.5	Arabidopsis thaliana (Mouse-ear cress)	246					lipid droplet [GO:0005811]; plant-type vacuole [GO:0000325]; developmental vegetative growth [GO:0080186]; lipid droplet organization [GO:0034389]; lipid storage [GO:0019915]; positive regulation of growth [GO:0045927]; positive regulation of response to water deprivation [GO:1902584]	GO:0000325; GO:0005811; GO:0019915; GO:0034389; GO:0045927; GO:0080186; GO:1902584
RMR2_ARATH	Q8VZ14	RMR2_ARATH	Receptor homology region, transmembrane domain- and RING domain-containing protein 2 (AtRMR2) (ReMembR-H2 protein JR702)	RMR2 JR702 At1g71980 F17M19.13	Arabidopsis thaliana (Mouse-ear cress)	448	FUNCTION: Involved in the trafficking of vacuolar proteins. May function as a sorting receptor for protein trafficking to the protein storage vacuole (PSV) (By similarity). {ECO:0000250}.				cytoplasm [GO:0005737]; Golgi membrane [GO:0000139]; protein storage vacuole [GO:0000326]; protein storage vacuole membrane [GO:0032586]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000139; GO:0000326; GO:0005737; GO:0006511; GO:0015031; GO:0032586; GO:0046872; GO:0061630
CDF2_ARATH	Q93ZL5	CDF2_ARATH	Cyclic dof factor 2 (Dof zinc finger protein DOF5.2) (AtDOF5.2)	CDF2 DOF5.2 At5g39660 MIJ24.16	Arabidopsis thaliana (Mouse-ear cress)	457	FUNCTION: Transcription factor that binds specifically to a 5'-AA[AG]G-3' consensus core sequence (By similarity). Regulates a photoperiodic flowering response. Transcriptional repressor of 'CONSTANS' expression. The stability of CDF2 is controlled by 'GIGANTEA' and redundantly by ADO3, ADO2 and/or ADO1. {ECO:0000250, ECO:0000269|PubMed:19619493}.			TISSUE SPECIFICITY: Expressed in the vasculature of cotyledons and hypocotyls, leaves and roots. {ECO:0000269|PubMed:19619493}.	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transcription cis-regulatory region binding [GO:0000976]; flower development [GO:0009908]; regulation of DNA-templated transcription [GO:0006355]	GO:0000976; GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0009908; GO:0046872
PLY59_SOLLC	P15722	PLY59_SOLLC	Probable pectate lyase P59 (EC 4.2.2.2)	LAT59	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	449	FUNCTION: Might be needed during pollen development and tube growth.	PATHWAY: Glycan metabolism; pectin degradation; 2-dehydro-3-deoxy-D-gluconate from pectin: step 2/5.		TISSUE SPECIFICITY: Expressed in anthers and pollen.	metal ion binding [GO:0046872]; pectate lyase activity [GO:0030570]; pectin catabolic process [GO:0045490]	GO:0030570; GO:0045490; GO:0046872
PDCT1_ARATH	Q9LVZ7	PDCT1_ARATH	Phosphatidylcholine:diacylglycerol cholinephosphotransferase 1 (AtPDCT1) (EC 2.7.8.-) (Protein REDUCED OLEATE DESATURATION 1)	ROD1 At3g15820 MSJ11.22	Arabidopsis thaliana (Mouse-ear cress)	301	FUNCTION: Functions as phosphatidylcholine:diacylglycerol cholinephosphotransferase that catalyzes the transfer of the phosphocholine headgroup from phosphatidylcholine (PC) to diacylglycerol, a major reaction for the transfer of 18:1 into phosphatidylcholine for desaturation and also for the reverse transfer of 18:2 and 18:3 into the triacylglycerols synthesis pathway. {ECO:0000269|PubMed:19833868, ECO:0000269|PubMed:22371508, ECO:0000269|PubMed:22932756}.				membrane [GO:0016020]; diacylglycerol cholinephosphotransferase activity [GO:0004142]; phosphatidylcholine metabolic process [GO:0046470]	GO:0004142; GO:0016020; GO:0046470
CAHC_TOBAC	P27141	CAHC_TOBAC	Carbonic anhydrase, chloroplastic (EC 4.2.1.1) (Carbonate dehydratase)		Nicotiana tabacum (Common tobacco)	321	FUNCTION: Reversible hydration of carbon dioxide.				chloroplast stroma [GO:0009570]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]	GO:0004089; GO:0008270; GO:0009570; GO:0015976
PILS7_ARATH	Q9FKY4	PILS7_ARATH	Protein PIN-LIKES 7 (Auxin efflux carrier-like protein 7)	PILS7 At5g65980 K2A18.4	Arabidopsis thaliana (Mouse-ear cress)	395	FUNCTION: Involved in cellular auxin homeostasis by regulating auxin metabolism. Regulates intracellular auxin accumulation at the endoplasmic reticulum and thus auxin availability for nuclear auxin signaling. {ECO:0000269|PubMed:22504182}.			TISSUE SPECIFICITY: Expressed in seedlings, rosette and cauline leaves, stems and flowers. {ECO:0000269|PubMed:22504182}.	endoplasmic reticulum membrane [GO:0005789]; auxin-activated signaling pathway [GO:0009734]; endoplasmic reticulum to cytosol auxin transport [GO:0080162]; response to auxin [GO:0009733]	GO:0005789; GO:0009733; GO:0009734; GO:0080162
